<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.02.14	21244.8	21520.0	20932.5	21477.5	66720	0	0
2018.02.15	21485.0	21623.9	21300.1	21497.7	48372	0	0
2018.02.16	21475.1	21914.0	21475.1	21880.4	35932	0	0
2018.02.19	21865.5	22153.2	21833.2	21993.3	15217	0	0
2018.02.20	21962.1	22054.6	21803.3	21871.1	32699	0	0
2018.02.21	21855.9	22176.0	21803.6	21848.6	37286	0	0
2018.02.22	21842.4	21880.1	21572.9	21713.8	38581	0	0
2018.02.23	21711.3	22036.5	21686.4	22026.6	24288	0	0
2018.02.26	22063.1	22419.4	22039.3	22407.0	20281	0	0
2018.02.27	22404.5	22505.8	22169.7	22192.3	30043	0	0
2018.02.28	22189.8	22374.6	21874.9	21883.5	31294	0	0
2018.03.01	21898.7	21961.2	21025.1	21137.7	54311	0	0
2018.03.02	21107.7	21266.4	20680.2	21160.2	55512	0	0
2018.03.05	21080.2	21462.1	20835.8	21402.1	45648	0	0
2018.03.06	21403.2	21802.2	21382.1	21628.6	34433	0	0
2018.03.07	21343.5	21483.5	21178.7	21465.0	39408	0	0
2018.03.08	21452.3	21644.7	21283.6	21614.5	26482	0	0
2018.03.09	21607.0	21885.7	21347.8	21869.6	32614	0	0
2018.03.12	21858.3	21971.1	21665.7	21728.8	22505	0	0
2018.03.13	21726.4	22084.8	21682.4	21742.8	29080	0	0
2018.03.14	21720.3	21894.1	21570.9	21703.8	29544	0	0
2018.03.15	21715.1	21852.3	21516.5	21808.1	24718	0	0
2018.03.16	21781.2	21830.4	21483.5	21554.4	19990	0	0
2018.03.19	21523.0	21627.1	21042.3	21270.7	31069	0	0
2018.03.20	21225.6	21457.8	21172.4	21437.6	26290	0	0
2018.03.21	21426.3	21506.9	21260.9	21285.7	21734	0	0
2018.03.22	21293.2	21531.4	20845.2	20876.1	44908	0	0
2018.03.23	20911.5	20939.1	20251.2	20262.4	71522	0	0
2018.03.26	20267.3	20829.1	20256.5	20807.7	47273	0	0
