Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
BUR,"Burford Capital Ltd",13.39,0.35,+2.68%,13.18,13.5,13.17,462200,2024-08-23
BUSE,"First Busey Corp",27.44,1.49,+5.74%,26.21,27.82,26.16,222400,2024-08-23
BV,"Brightview Holdings Inc",15.73,0.41,+2.68%,15.3,15.86,15.3,621900,2024-08-23
BVS,"Bioventus Inc Cl A",9.92,0.04,+0.40%,9.83,10.09,9.47,1167500,2024-08-23
BWB,"Bridgewater Bancshares Inc",13.75,0.69,+5.28%,13.21,14,12.98,112600,2024-08-23
BWFG,"Bankwell Financial",28.95,1.65,+6.04%,27.32,29.23,27.32,27500,2024-08-23
BWIN,"The Baldwin Insurance Group Inc",44.46,1.02,+2.35%,43.7,44.87,43.32,349100,2024-08-23
BWMN,"Bowman Consulting Group Ltd",24.95,0.5,+2.04%,24.81,25.67,24.64,129600,2024-08-23
BXC,"Bluelinx Holdings Inc",104.63,7.79,+8.04%,97.65,104.64,97.5035,113700,2024-08-23
BXMT,"Blackstone Mortgage Trust Inc Cl A",18.03,0.4,+2.27%,17.63,18.09,17.63,1692200,2024-08-23
BY,"Byline Bancorp Inc",27.75,1.29,+4.88%,26.67,28.23,26.59,150600,2024-08-23
BYND,"Beyond Meat Inc",6.74,0.41,+6.48%,6.35,7.07,6.31,4977400,2024-08-23
BYON,"Beyond Inc",11.05,0.75,+7.28%,10.41,11.5699,10.38,3167100,2024-08-23
BYRN,"Byrna Technologies Inc",11.07,0.07,+0.64%,11.1,11.36,10.9,138800,2024-08-23
BZH,"Beazer Homes USA",32.49,1.31,+4.20%,31.65,32.62,31.05,920000,2024-08-23
CABA,"Cabaletta Bio Inc",6.06,0.26,+4.48%,5.9,6.26,5.89,678000,2024-08-23
CABO,"Cable One Inc",350.28,15.31,+4.57%,337.99,352.07,336.8851,53000,2024-08-23
CAC,"Camden Natl Corp",40.24,2.45,+6.48%,38.14,40.99,37.6,49700,2024-08-23
CADE,"Cadence Bank",32.77,1.48,+4.73%,31.6,33.29,31.325,1110700,2024-08-23
CADL,"Candel Therapeutics Inc",5.68,0.37,+6.97%,5.27,5.77,5.27,168500,2024-08-23
CAKE,"Cheesecake Fact",40.61,2.25,+5.87%,38.92,40.72,38.54,1290100,2024-08-23
CAL,"Caleres Inc",43.97,1.77,+4.19%,42.59,44.51,42.2,528600,2024-08-23
CALM,"Cal-Maine Foods IN",71.45,-0.61,-0.85%,72.36,72.5,71.04,334500,2024-08-23
CALX,"Calix Inc",37.54,1.18,+3.25%,36.53,37.65,36.3,442000,2024-08-23
CAPR,"Capricor Therap",4.56,-0.02,-0.44%,4.59,4.7,4.5,233800,2024-08-23
CARE,"Carter Bankshares Inc",17.2,1.07,+6.63%,16.25,17.25,16.2,131500,2024-08-23
CARG,"Cargurus Inc Cl A",28.72,0.7,+2.50%,28.33,29.04,28.24,532400,2024-08-23
CARS,"Cars.com Inc",18.15,0.87,+5.03%,17.47,18.34,17.405,484700,2024-08-23
CASH,"Pathward Financial Inc",67.03,2.69,+4.18%,64.55,67.92,64.39,139900,2024-08-23
CASS,"Cass Information Sys",43.25,1.55,+3.72%,41.9,43.72,41.84,34500,2024-08-23
CATX,"Perspective Therapeutics Inc",15.69,0.67,+4.46%,15.11,15.82,15.11,690700,2024-08-23
CATY,"Cathay Genl Bncp",44.84,2.41,+5.68%,42.85,45.43,42.56,303400,2024-08-23
CBAN,"Colony Bankcorp Inc",14.9,0.72,+5.08%,14.46,15.16,14.29,41400,2024-08-23
CBL,"Cbl & Associates Properties Inc",26.89,0.87,+3.34%,26.22,27.24,26.22,156700,2024-08-23
CBNK,"Capital Bancorp Inc",25.1,0.57,+2.32%,24.9,25.65,24.85,58300,2024-08-23
CBRL,"Cracker Barrel",40.83,-0.05,-0.12%,41.09,43.43,40.72,786700,2024-08-23
CBT,"Cabot Corp",104.24,2.86,+2.82%,102.49,105.3,101.98,466600,2024-08-23
CBU,"Community Financial System Inc",61.49,2.57,+4.36%,59.45,62.9,59.11,287900,2024-08-23
CBUS,"Cibus Inc",7.56,0.4,+5.59%,7.2,7.77,7.2,123100,2024-08-23
CBZ,"Cbiz Inc",72.02,0.83,+1.17%,71.69,72.68,71.5,291400,2024-08-23
CCB,"Coastal Financial Corp",53.05,2.58,+5.11%,50.88,54,50.44,52900,2024-08-23
CCBG,"Capital City Bank Gr",34.04,1.5,+4.61%,33.17,34.69,32.75,40300,2024-08-23
CCCC,"C4 Therapeutics Inc",6.64,0.58,+9.57%,6.16,6.72,6.13,1326500,2024-08-23
CCNE,"Cnb Financial Corp",24.82,1.87,+8.15%,23.2,24.82,23.2,62500,2024-08-23
CCO,"Clear Channel Outdoor Holdings",1.48,0.09,+6.47%,1.42,1.49,1.395,2054400,2024-08-23
CCOI,"Cogent Comm Hlds",72.93,0.56,+0.77%,72.96,74.15,72.54,357500,2024-08-23
CCRN,"Cross Ctry Hlthcr",15.34,0.85,+5.87%,14.95,15.74,14.9,560800,2024-08-23
CCS,"Century Communities Inc",103.89,6.58,+6.76%,98.58,104.05,98.19,314500,2024-08-23
CCSI,"Consensus Cloud Solutions",21.83,0.87,+4.15%,21.04,22.36,20.99,173000,2024-08-23
CDE,"Coeur Mining Inc",6.36,0.050000000000001,+0.79%,6.42,6.4999,6.27,4927000,2024-08-23
CDLX,"Cardlytics Inc",4.01,0.22,+5.80%,3.85,4.23,3.85,845900,2024-08-23
CDMO,"Avid Bioservices Inc",10.58,-0.07,-0.66%,10.76,10.95,10.48,445900,2024-08-23
CDNA,"Caredx Inc",31.54,0.58,+1.87%,31.22,32.27,30.61,761200,2024-08-23
CDP,"Copt Defense Properties",29.12,0.43,+1.50%,28.91,29.34,28.86,651900,2024-08-23
CDRE,"Cadre Holdings Inc",35.99,0.98,+2.80%,35.39,36.34,35.28,135200,2024-08-23
CDXC,"Chromadex Corp CS",3.51,0.22,+6.69%,3.31,3.66,3.31,450800,2024-08-23
CDXS,"Codexis Inc",3.05,0.15,+5.17%,2.93,3.12,2.92,306300,2024-08-23
CDZI,"Cadiz Inc",3.38,0.27,+8.68%,3.16,3.38,3.12,129600,2024-08-23
CECO,"Ceco Environmental Corp",28.65,1.17,+4.26%,27.75,29.06,27.44,134000,2024-08-23
CEIX,"Consol Energy Inc",94.87,3.44,+3.76%,92.35,95.3,91,553000,2024-08-23
CELC,"Celcuity Inc",17.35,0.47,+2.78%,16.95,18,16.8,1187000,2024-08-23
CENT,"Central Garden",39.63,0.99,+2.56%,39.03,39.96,38.74,85700,2024-08-23
CENTA,"Central Garden & Pet",34.26,0.83,+2.48%,33.63,34.63,33.47,175700,2024-08-23
CENX,"Century Aluminum C",15.16,1.08,+7.67%,14.35,15.21,14.12,953100,2024-08-23
CERS,"Cerus Corp",2.33,0.17,+7.87%,2.16,2.36,2.16,800500,2024-08-23
CEVA,"Ceva Inc",24.65,0.75,+3.14%,24.16,24.87,23.9,237700,2024-08-23
CFB,"Crossfirst Bankshares Inc",18.43,0.98,+5.62%,17.64,18.68,17.64,206700,2024-08-23
CFFN,"Capitol Fed Finl Inc",6.13,0.42,+7.36%,5.77,6.24,5.76,1282600,2024-08-23
CGEM,"Cullinan Therapeutics Inc",18.03,0.17,+0.95%,17.88,18.17,17.61,483900,2024-08-23
CGON,"Cg Oncology Inc",37.02,1.09,+3.03%,36.29,37.7,35.91,439400,2024-08-23
CHCO,"City Holding Company",119.15,4.5,+3.92%,115.5,121.81,115.5,65700,2024-08-23
CHCT,"Community Healthcare Trust Inc",19.2,0.27,+1.43%,18.98,19.46,18.88,243100,2024-08-23
CHEF,"The Chefs Warehouse",40.33,0.43,+1.08%,40.18,40.7,39.74,295200,2024-08-23
CHGG,"Chegg Inc",2.22,0.08,+3.74%,2.17,2.27,2.125,2412800,2024-08-23
CHMG,"Chemung Financial Corp",47,1.76,+3.89%,45.5,48.3,45.5,11100,2024-08-23
CHPT,"Chargepoint Hldgs Inc",1.92,0.1,+5.49%,1.85,2,1.84,14436700,2024-08-23
CHRS,"Coherus Bio",1.39,0.07,+5.30%,1.31,1.43,1.31,1538200,2024-08-23
CHUY,"Chuy's Holdings Inc",37.2,0.08,+0.22%,37.13,37.28,37.12,722700,2024-08-23
CHX,"Championx Corp",31.94,0.74,+2.37%,31.55,32.07,31.38,1016600,2024-08-23
CIFR,"Cipher Mining Inc",4,0.21,+5.54%,3.88,4,3.81,10858699,2024-08-23
CIM,"Chimera Investment Corp",15.31,0.43,+2.89%,14.95,15.34,14.89,541300,2024-08-23
CIO,"City Office REIT Inc",5.95,0.34,+6.06%,5.67,5.97,5.6501,154700,2024-08-23
CIVB,"Civista Bncshrs",16.94,0.59,+3.61%,16.49,17.18,16.47,62700,2024-08-23
CIX,"Compx International Inc",27.41,0.31,+1.14%,27.1,27.6499,26.495,6300,2024-08-23
CLAR,"Clarus Corp",4.6,0.01,+0.22%,4.61,4.72,4.5,734000,2024-08-23
CLB,"Core Laboratories Inc",18.37,0.26,+1.44%,18.35,18.7,18.15,488200,2024-08-23
CLBK,"Columbia Financial Inc",17.85,0.91,+5.37%,17.07,18.04,17.07,120600,2024-08-23
CLDT,"Chatham Lodging Trust REIT",8.55,0.3,+3.64%,8.32,8.63,8.25,383700,2024-08-23
CLDX,"Celldex Therapeutics",37.17,1.89,+5.36%,35.65,37.2,35.47,510500,2024-08-23
CLFD,"Clearfield Inc",37.85,1.02,+2.77%,37.1,38.6,37.1,125100,2024-08-23
CLMB,"Climb Global Solutions Inc",91.12,3.99,+4.58%,88.14,91.33,87.95,25000,2024-08-23
CLNE,"Clean Energy Fuels",3.25,0.18,+5.86%,3.09,3.28,3.08,1243600,2024-08-23
CLPR,"Clipper Realty Inc",4.63,0.04,+0.87%,4.62,4.79,4.62,64500,2024-08-23
CLSK,"Cleanspark Inc",12.61,0.74,+6.23%,12.03,12.75,11.88,29799900,2024-08-23
CLW,"Clearwater Paper Corp",34.36,1.12,+3.37%,33.19,35.38,33.19,260300,2024-08-23
CMC,"Commercial Metals Company",54.23,1.34,+2.53%,53.18,54.5,53.06,706600,2024-08-23
CMCL,"Caledonia Mining Corp",13.01,0.33,+2.60%,12.89,13.2,12.8205,98200,2024-08-23
CMCO,"Columbus Mckinnon",33.81,1.18,+3.62%,32.75,34.29,32.53,118500,2024-08-23
CMP,"Compass Minerals Intl Inc",9.25,-0.1,-1.07%,9.4,9.54,9.2,807400,2024-08-23
CMPO,"Composecure Inc",11.57,0.03,+0.26%,11.65,11.75,11.34,594500,2024-08-23
CMPR,"Cimpress N.V. Ord",92.19,1.64,+1.81%,90.81,94.11,90.27,121700,2024-08-23
CMPX,"Compass Therapeutics Inc",1.26,0.07,+5.88%,1.24,1.261,1.195,327600,2024-08-23
CMRE,"Costamare Inc",13.72,0.19,+1.40%,13.61,13.88,13.59,306100,2024-08-23
CMT,"Core Molding Technologies Inc",18.71,0.86,+4.82%,17.93,18.71,17.93,84600,2024-08-23
CMTG,"Claros Mortgage Trust Inc",8.09,0.27,+3.45%,7.83,8.24,7.83,289200,2024-08-23
CNDT,"Conduent Inc",3.64,0.34,+10.30%,3.33,3.66,3.33,1459300,2024-08-23
CNK,"Cinemark Holdings Inc",27.8,0.32,+1.16%,27.55,27.88,27.4,1528800,2024-08-23
CNMD,"C O N M E D Corp",71.95,3.8,+5.58%,68.54,72.34,67.9967,410300,2024-08-23
CNNE,"Cannae Holdings Inc",19.66,0.28,+1.44%,19.54,19.99,19.4401,239400,2024-08-23
CNO,"Cno Financial Group",33.87,1.08,+3.29%,33.08,33.92,33.02,706100,2024-08-23
CNOB,"Connectone Bancorp",25.31,1.75,+7.43%,23.8,25.45,23.63,181000,2024-08-23
CNS,"Cohn & Steers Inc",88.51,3.23,+3.79%,85.61,89.61,85.01,195900,2024-08-23
CNSL,"Consolidated Communications Holdings Inc",4.57,0.01,+0.22%,4.55,4.57,4.53,498800,2024-08-23
CNX,"CNX Resources Corp",27.47,0.47,+1.74%,27.5,27.505,27.19,1708800,2024-08-23
CNXN,"PC Connection Inc",71.46,1.73,+2.48%,69.9,71.67,69.9,55000,2024-08-23
COCO,"The Vita Coco Company Inc",24.89,0.01,+0.04%,24.97,25.41,24.63,246200,2024-08-23
CODI,"Compass Diversified Holdings",22.12,0.97,+4.59%,21.3,22.17,21.17,185300,2024-08-23
COFS,"Choiceone Financial",29.33,1.42,+5.09%,28,29.66,28,47800,2024-08-23
COGT,"Cogent Biosciences Inc",10.18,0.46,+4.73%,9.77,10.43,9.75,1139700,2024-08-23
COHU,"Cohu Inc",26.87,0.78,+2.99%,26.54,27.11,26.33,245600,2024-08-23
COLL,"Collegium Pharma",36.26,0.22,+0.61%,36.16,36.55,35.92,300900,2024-08-23
COMM,"Commscope Holding Company",4.37,0.33,+8.17%,4.07,4.41,4.07,3375300,2024-08-23
COMP,"Compass Inc Cl A",5.13,0.44,+9.38%,4.75,5.22,4.715,9961500,2024-08-23
COOK,"Traeger Inc",3.61,0.27,+8.08%,3.39,3.655,3.32,445600,2024-08-23
COOP,"Mr.Cooper Group Inc",92.76,2.13,+2.35%,90.73,93.41,90.73,339400,2024-08-23
CORT,"Corcept Therapeutics",34.79,0.51,+1.49%,34.51,35.29,34.28,394300,2024-08-23
CORZ,"Core Scientific Inc",10.76,0.88,+8.91%,10.17,10.8,9.82,11447399,2024-08-23
COUR,"Coursera Inc",8.36,0.35,+4.37%,8.11,8.36,8.08,1234100,2024-08-23
CPF,"Central Pacific Financial Company",27.62,1.18,+4.46%,26.62,28.07,26.32,292600,2024-08-23
CPK,"Chesapeake Utilities Corp",116.88,2.25,+1.96%,114.62,117.47,112.92,79400,2024-08-23
CPRX,"Catalyst Pharm Inc",20.32,-0.42,-2.03%,20.74,20.75,20.22,956800,2024-08-23
CPS,"Cooper Std Holdings Inc",16.42,1.1,+7.18%,15.51,16.565,15.51,174300,2024-08-23
CPSS,"Consumer Portfol",8.4,-0.18,-2.10%,8.58,9.48,8.35,98700,2024-08-23
CRAI,"Cra International",163.48,3.06,+1.91%,161.15,165.45,161.15,47200,2024-08-23
CRBP,"Corbus Pharmaceuticals Hldgs Inc",59.7,0.18,+0.30%,60,61.48,58.85,248700,2024-08-23
CRBU,"Caribou Biosciences Inc",2.21,0.12,+5.74%,2.1,2.31,2.1,1070000,2024-08-23
CRC,"California Resources Corp",51.85,0.49,+0.95%,52.1,52.5999,51.3,750900,2024-08-23
CRCT,"Cricut Inc Cl A",5.79,0,0.00%,5.8,5.99,5.77,642200,2024-08-23
CRD.A,"Crawford Company Cl A",10.65,0.39,+3.80%,10.3,10.73,10.3,59600,2024-08-23
CRDF,"Cardiff Oncology Inc",2.39,0.1,+4.37%,2.31,2.47,2.3,442400,2024-08-23
CRDO,"Credo Technology Group Holding Ltd",36.45,1.23,+3.49%,35.71,36.8,35.48,3228300,2024-08-23
CRGX,"Cargo Therapeutics Inc",17.95,0.57,+3.28%,17.44,18,17.3,461100,2024-08-23
CRGY,"Crescent Energy Company Cl A",11.27,0.19,+1.71%,11.22,11.315,11.07,1417100,2024-08-23
CRK,"Comstock Resources",11.43,0.72,+6.72%,10.89,11.44,10.89,4044300,2024-08-23
CRMD,"Cormedix Inc",5.65,0.55,+10.78%,5.15,5.74,5.1,1106600,2024-08-23
CRML,"Critical Metals Corp",9.2,-0.33,-3.46%,9.65,9.65,9,20300,2024-08-23
CRMT,"America's Car-Mart",62.51,3.32,+5.61%,60,62.6,59.88,108400,2024-08-23
CRNC,"Cerence Inc",3.61,0.2,+5.87%,3.46,3.63,3.35,1364700,2024-08-23
CRNX,"Crinetics Pharmaceuticals Inc",53.15,-0.09,-0.17%,53.94,54.06,52.83,573900,2024-08-23
CRS,"Carpenter Technology Corp",144.79,2.66,+1.87%,143.12,146.3538,142.19,379300,2024-08-23
CRSR,"Corsair Gaming Inc",6.79,0.33,+5.11%,6.53,6.82,6.53,533500,2024-08-23
CRVL,"Corvel Corp",314.57,6.72,+2.18%,310.58,316.65,310.5,32300,2024-08-23
CRVO,"Cervomed Inc",16.32,0.62,+3.95%,15.88,16.97,15.53,38900,2024-08-23
CSGS,"C S G Sys Intl",47.15,0.58,+1.25%,46.77,47.55,46.55,169100,2024-08-23
CSR,Centerspace,74.18,0.88000000000001,+1.20%,74.08,75.19,73.34,341400,2024-08-23
CSTE,"Caesarstone Sdot-Yam",4.9,0.3,+6.52%,4.66,4.94,4.66,33700,2024-08-23
CSTL,"Castle Biosciences Inc",29.57,2.04,+7.41%,28.1,30.45,28.1,721700,2024-08-23
CSTM,"Constellium N.V.",16.56,0.63,+3.95%,16.01,16.64,15.955,789400,2024-08-23
CSV,"Carriage Services",32.3,0.95,+3.03%,31.53,32.36,31.47,87900,2024-08-23
CSWI,"Csw Industrials Inc",325.18,11.94,+3.81%,315.3,325.38,315.3,74600,2024-08-23
CTBI,"Community TR Bancp",50.16,2.43,+5.09%,48.15,51.13,48.13,47800,2024-08-23
CTGO,"Contango Ore Inc",21.05,0.030000000000001,+0.14%,21.38,21.38,20.8241,59400,2024-08-23
CTKB,"Cytek Biosciences Inc",5.65,0.42,+8.03%,5.3,5.7,5.2,788600,2024-08-23
CTLP,"Cantalope Inc",6.95,0.14,+2.06%,6.86,7.03,6.79,193200,2024-08-23
CTNM,"Contineum Therapeutics Inc",20.06,1.82,+9.98%,18.56,20.06,18.56,43900,2024-08-23
CTO,"Cto Realty Growth Inc",18.9,0.4,+2.16%,18.68,19.14,18.62,955500,2024-08-23
CTOS,"Custom Truck One Source",4.5,0.12,+2.74%,4.4,4.6,4.351,1033100,2024-08-23
CTRE,"Caretrust REIT Inc",29.21,0.33,+1.14%,28.84,29.24,28.84,1214200,2024-08-23
CTRI,"Centuri Holdings Inc",17.33,1.05,+6.45%,16.4,17.37,16.23,146500,2024-08-23
CTRN,"Citi Trends Inc",15.95,0.8,+5.28%,15.22,16.06,15.22,118100,2024-08-23
CTS,"Cts Corp",49.66,1.85,+3.87%,48.34,50,48.1658,111800,2024-08-23
CTV,"Innovid Corp",1.84,0.12,+6.98%,1.76,1.85,1.76,176200,2024-08-23
CUBI,"Customers Bancorp",51,2.48,+5.11%,48.85,51.86,48.83,550100,2024-08-23
CURV,"Torrid Holdings Inc",6.79,0.66,+10.77%,6.23,6.8,6.18,167300,2024-08-23
CVBF,"Cvb Financial Corp",18.19,1.09,+6.37%,17.19,18.39,17.14,967300,2024-08-23
CVCO,"Cavco Inds Inc",409.16,19.75,+5.07%,390.4,411.36,390.4,59000,2024-08-23
CVGI,"Commercial Vehicle G",3.69,0.09,+2.50%,3.64,3.81,3.57,141300,2024-08-23
CVGW,"Calavo Growers Inc",24.11,0.54,+2.29%,23.71,24.33,23.67,128600,2024-08-23
CVI,"Cvr Energy Inc",24.81,0.61,+2.52%,24.44,24.84,24.21,640800,2024-08-23
CVLG,"Covenant Logistics Group Inc",53.83,1.85,+3.56%,52.95,53.95,52.67,38500,2024-08-23
CVLT,"Commvault Systems",152.62,4.1,+2.76%,149.22,152.94,148.73,253000,2024-08-23
CVRX,"Cvrx Inc",8.73,0.39,+4.68%,8.42,8.88,8.42,323900,2024-08-23
CWAN,"Clearwater Analytics Holdings Inc Cl A",24.63,0.32,+1.32%,24.52,24.65,24.21,906200,2024-08-23
CWBC,"Community West Bank",20.3,0.97,+5.02%,19.56,20.8,19.56,54000,2024-08-23
CWCO,"Cons Water Inc",26.96,0.47,+1.77%,26.64,27.12,26.45,66000,2024-08-23
CWH,"Camping World Holdings Inc",22.53,2.11,+10.33%,20.62,22.615,20.46,1720400,2024-08-23
CWK,"Cushman & Wakefield Plc",13.38,0.53,+4.12%,12.99,13.535,12.88,1902100,2024-08-23
CWST,"Casella Waste Sys",107.1,1.85,+1.76%,105.88,107.36,105.24,237500,2024-08-23
CWT,"California Water Service Group Holding",53.59,-0.51,-0.94%,54.39,54.7,53.06,456900,2024-08-23
CXM,"Sprinklr Inc Cl A",8.93,0.16,+1.82%,8.86,8.9665,8.7,1061700,2024-08-23
CXW,"Corecivic Inc",13.82,0.37,+2.75%,13.5,13.83,13.48,778400,2024-08-23
CYH,"Community Health Systems",5.06,0.19,+3.90%,4.91,5.14,4.91,1545300,2024-08-23
CYRX,"Cryoport Inc",8.86,0.29,+3.38%,8.64,9.14,8.56,418300,2024-08-23
CYTK,Cytokinetics,57.32,1.07,+1.90%,56.57,57.94,56.21,1206800,2024-08-23
CZFS,"Citizens Fincl Svcs",55.36,6.36,+12.98%,50.13,55.36,50,8600,2024-08-23
CZNC,"Citizens Nrthn Corp",20.08,1.06,+5.57%,19.23,20.25,19.23,36500,2024-08-23
DAKT,"Daktronics Inc",15.84,0.71,+4.69%,15.17,15.85,15.16,328900,2024-08-23
DAN,"Dana Inc",11.1,0.42,+3.93%,10.79,11.25,10.72,1005400,2024-08-23
DAVE,"Dave Inc",39.44,1.02,+2.65%,39,40.08,38.46,443900,2024-08-23
DAWN,"Day One Biopharmaceuticals Inc",14.09,0.41,+3.00%,13.81,14.18,13.76,665400,2024-08-23
DBD,"Diebold Nixdorf Incorporated",39.68,0.98,+2.53%,38.87,40.19,38.87,145500,2024-08-23
DBI,"Designer Brands Inc",8.05,0.31,+4.01%,7.86,8.145,7.82,1777700,2024-08-23
DBRG,"Digitalbridge Group Inc",12.79,0.72,+5.97%,12.15,12.88,12.12,2340300,2024-08-23
DC,"Dakota Gold Corp",2.33,0.15,+6.88%,2.2,2.35,2.19,157400,2024-08-23
DCGO,"Docgo Inc.",3.72,0.26,+7.51%,3.51,3.79,3.46,457600,2024-08-23
DCO,"Ducommun Inc",64.91,0.50999999999999,+0.79%,65.02,65.6,63,69600,2024-08-23
DCOM,"Dime Community Bancshares Inc",25.1,1.9,+8.19%,23.52,25.39,23.52,209600,2024-08-23
DDD,"3D Systems Corp",2.63,0.1,+3.95%,2.58,2.785,2.51,2630900,2024-08-23
DEA,"Easterly Government Properties",13.45,0,0.00%,13.54,13.67,13.37,3092400,2024-08-23
DEC,"Diversified Energy Company Plc",12.47,0.22,+1.80%,12.43,12.675,12.32,240900,2024-08-23
DEI,"Douglas Emmett",15.74,0.61,+4.03%,15.18,15.845,15.18,1092300,2024-08-23
DENN,"Dennys Corp",6.25,0.17,+2.80%,6.11,6.36,6.11,409300,2024-08-23
DESP,"Despegar.com Corp",11.65,0.61,+5.53%,11.18,11.725,11.18,657200,2024-08-23
DFH,"Dream Finders Homes Inc Cl A",33.61,2.59,+8.35%,31.41,33.61,31.41,562600,2024-08-23
DFIN,"Donnelly Financial Solutions Inc",66.52,1.52,+2.34%,65.38,66.605,65.08,95300,2024-08-23
DGICA,"Donegal Group Cl A",14.97,0.35,+2.39%,14.65,15,14.65,67500,2024-08-23
DGII,"Digi Intl Inc",29.47,1.01,+3.55%,28.74,29.61,28.6,123700,2024-08-23
DH,"Definitive Healthcare Corp Cl A",4.53,0.27,+6.34%,4.32,4.68,4.32,817300,2024-08-23
DHC,"Diversified Healthcare Trust",3.5,0.29,+9.03%,3.26,3.55,3.23,1251300,2024-08-23
DHIL,"Diamond Hill Inv",160.96,3.87,+2.46%,157.1,162.86,156.5,23300,2024-08-23
DHT,"Dht Holdings",10.67,0.1,+0.95%,10.61,10.955,10.5202,1761300,2024-08-23
DIBS,"1stdibs.com Inc",4.78,0.24,+5.29%,4.59,4.81,4.39,64000,2024-08-23
DIN,"Dineequity Inc",32.87,0.71,+2.21%,32.48,33.62,32.2528,400900,2024-08-23
DIOD,"Diodes Inc",71.28,4.31,+6.44%,68.1,71.49,67.77,296000,2024-08-23
DJCO,"Daily Journal Corp",488.55,30.94,+6.76%,459.3,490.02,459.3,27000,2024-08-23
DK,"Delek US Holdings",20.81,0.71,+3.53%,20.27,21.075,20.27,1192700,2024-08-23
DLHC,"Dlh Holdings Corp",11.02,0.52,+4.95%,10.68,11.24,10.59,54400,2024-08-23
DLX,"Deluxe Corp",20.41,1.02,+5.26%,19.68,20.6,19.54,212600,2024-08-23
DMRC,"Digimarc Corp",28.81,1.29,+4.69%,27.73,29.03,27.66,86500,2024-08-23
DNLI,"Denali Therapeutics Inc",24.77,0.88,+3.68%,24.11,25.01,23.85,714800,2024-08-23
DNMRW,"Danimer Scientific Inc",0.107,0.007,+7.00%,0.09,0.187,0.09,497500,2024-08-23
DNOW,"Dnow Inc",12.9,0.35,+2.79%,12.64,12.97,12.59,652700,2024-08-23
DNTH,"Dianthus Therapeutics Inc",28.3,0.68,+2.46%,27.99,28.9,27.84,122200,2024-08-23
DNUT,"Krispy Kreme Inc",10.69,-0.04,-0.37%,10.83,10.9,10.64,895900,2024-08-23
DO,"Diamond Offshore Drilling Inc",14.36,0.39,+2.79%,14.04,14.39,14.04,2394200,2024-08-23
DOCN,"Digitalocean Holdings Inc",38,1.42,+3.88%,36.98,38.8283,36.6601,1358700,2024-08-23
DOLE,"Dole Plc",15.8,0.08,+0.51%,15.75,15.86,15.72,926900,2024-08-23
DOMO,"Domo Inc Cl B",8.09,0.21,+2.66%,7.9,8.12,7.7,312200,2024-08-23
DORM,"Dorman Products Inc",111.89,2.74,+2.51%,109.42,113.38,109.05,126500,2024-08-23
DRH,"Diamondrock Hospitality Company",8.67,0.19,+2.24%,8.54,8.725,8.47,1385300,2024-08-23
DRQ,Dril-Quip,15.94,0.55,+3.57%,15.57,16.21,15.53,246500,2024-08-23
DRS,"Leonardo Drs Inc",28.42,0.36,+1.28%,28.41,29.02,28.14,435600,2024-08-23
DRVN,"Driven Brands Holdings Inc",14.5,0.47,+3.35%,14.08,14.52,14.01,437400,2024-08-23
DSGN,"Design Therapeutics Inc",4.89,-0.02,-0.41%,4.94,5.07,4.8,119100,2024-08-23
DSGR,"Distribution Solutions Group Inc",37.43,1.21,+3.34%,35.61,37.45,35.59,58600,2024-08-23
DSP,"Viant Technology Inc",11.09,0.43,+4.03%,10.73,11.35,10.71,91800,2024-08-23
DTC,"Solo Brands Inc Cl A",1.56,0.1,+6.85%,1.46,1.67,1.44,393800,2024-08-23
DTI,"Drilling Tools International Corp",4.07,0.16,+4.09%,3.8,4.17,3.8,22400,2024-08-23
DVAX,"Dynavax Technologies",11.49,0.21,+1.86%,11.38,11.57,11.23,1333100,2024-08-23
DX,"Dynex Capital",12.32,0.14,+1.15%,12.17,12.37,12.16,1362700,2024-08-23
DXLG,"Destination XL Group",2.95,0.18,+6.50%,2.82,3.03,2.82,470200,2024-08-23
DXPE,"Dxp Enterprise",51.85,1.69,+3.37%,50.24,51.85,50.2,80900,2024-08-23
DY,"Dycom Industries",180.12,4.43,+2.52%,176.59,180.69,173.86,435200,2024-08-23
DYN,"Dyne Therapeutics Inc",46.53,1.04,+2.29%,45.79,46.81,45.13,605400,2024-08-23
EAF,"Graftech International Ltd",0.7333,0.0812,+12.45%,0.6555,0.7333,0.6555,1603500,2024-08-23
EAT,"Brinker International",71.13,2.55,+3.72%,69.03,72,68.84,1500300,2024-08-23
EB,"Eventbrite Inc",3.41,0.04,+1.19%,3.37,3.52,3.37,1059800,2024-08-23
EBC,"Eastern Bankshares Inc",16.64,0.91,+5.79%,15.85,16.75,15.8,1134500,2024-08-23
EBF,"Ennis Inc",23.3,0.46,+2.01%,22.89,23.38,22.845,96700,2024-08-23
EBTC,"Enterprise Bancorp",30.42,1.77,+6.18%,28.7,30.89,28.7,23100,2024-08-23
ECPG,"Encore Capital Group",50.58,1.6,+3.27%,49.15,51.13,48.99,123900,2024-08-23
ECVT,"Pq Group Holdings Inc",6.89,0.2,+2.99%,6.71,6.97,6.71,1223100,2024-08-23
EDIT,"Editas Medicine",3.87,0.08,+2.11%,3.82,4,3.77,1700200,2024-08-23
EE,"Excelerate Energy Inc Cl A",19.6,0.28,+1.45%,19.5,19.715,19.48,111900,2024-08-23
