Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
ARI,"Apollo Commercial Real Estate",10.34,0.22,+2.17%,10.19,10.43,10.14,675900,2024-08-23
ARIS,"Aris Water Solutions Inc Cl A",16.96,0.61,+3.73%,16.52,17.09,16.43,444100,2024-08-23
ARKO,"Arko Corp",6.33,0.22,+3.60%,6.17,6.36,6.09,314000,2024-08-23
ARL,"American Realty Investors",17.33,0.5,+2.97%,16.7,17.75,16.7,2900,2024-08-23
ARLO,"Arlo Technologies Inc",12.44,0.46,+3.84%,12.06,12.4999,12,590900,2024-08-23
AROC,"Archrock Inc",20.11,0.83,+4.30%,19.5,20.18,19.43,999100,2024-08-23
AROW,"Arrow Financial Corp",30.55,1.84,+6.41%,29.04,31.3,28.81,71500,2024-08-23
ARQ,"Arq Inc",7.01,0.52,+8.01%,6.54,7.05,6.54,306000,2024-08-23
ARQT,"Arcutis Biotherapeutics Inc",9.83,1.51,+18.15%,8.46,10.16,8.46,6271200,2024-08-23
ARR,"Armour Residential R",20.09,0.079999999999998,+0.40%,20.08,20.27,20.005,1047400,2024-08-23
ARRY,"Array Technologies Inc",6.92,0.36,+5.49%,6.63,6.96,6.58,4667900,2024-08-23
ARVN,"Arvinas Inc",26.18,1.75,+7.16%,24.65,26.23,24.6,647100,2024-08-23
ARWR,"Arrowhead Pharma",24.78,0.41,+1.68%,24.68,25.09,24.33,822700,2024-08-23
ASAN,"Asana Inc Cl A",13.9,0.56,+4.20%,13.57,13.92,13.415,1453400,2024-08-23
ASB,"Associated Banc-Corp",22.54,1.02,+4.74%,21.74,22.94,21.7,1495200,2024-08-23
ASC,"Ardmore Shipping Corp",18.76,0.13,+0.70%,18.71,19.199,18.67,445900,2024-08-23
ASGN,"On Assignment",96.13,3.19,+3.43%,93.72,96.75,93.72,271600,2024-08-23
ASIX,"Advansix Inc",30.31,1.05,+3.59%,29.49,30.575,29.28,151600,2024-08-23
ASLE,"Aersale Corp",5.19,0.11,+2.17%,5.14,5.32,5.12,334600,2024-08-23
ASO,"Academy Sports and Outdoors Inc",54.49,-0.26,-0.47%,55.14,55.28,54.29,1783500,2024-08-23
ASPI,"Asp Isotopes Inc",2.57,0.17,+7.08%,2.47,2.67,2.4,961300,2024-08-23
ASPN,"Aspen Aerogels Inc",30.14,0.91,+3.11%,29.59,31.16,29.41,1388300,2024-08-23
ASTE,"Astec Inds Inc",34.03,1.36,+4.16%,33,34.62,32.96,124100,2024-08-23
ASTH,"Astrana Health Inc",48.12,0.19,+0.40%,48.43,48.75,47.65,300800,2024-08-23
ASTS,"Ast Spacemobile Inc",32.86,-1.28,-3.75%,34.59,37.16,32.08,25736699,2024-08-23
ASUR,"Asure Software",8.77,0.14,+1.62%,8.68,8.93,8.65,123800,2024-08-23
ATEC,"Alphatec Holdings",5.74,0.05,+0.88%,5.75,6.04,5.71,2798000,2024-08-23
ATEN,"A10 Networks Inc",13.36,0.09,+0.68%,13.39,13.46,13.25,502200,2024-08-23
