,0050.TW,0051.TW,0052.TW,0053.TW,0055.TW,0056.TW,0057.TW,0061.TW,1101.TW,1102.TW,1103.TW,1104.TW,1108.TW,1109.TW,1110.TW,1201.TW,1203.TW,1210.TW,1213.TW,1216.TW,1217.TW,1218.TW,1219.TW,1220.TW,1225.TW,1227.TW,1229.TW,1231.TW,1232.TW,1233.TW,1234.TW,1236.TW,1240.TWO,1256.TW,1259.TWO,1264.TWO,1268.TWO,1301.TW,1303.TW,1304.TW,1305.TW,1307.TW,1308.TW,1309.TW,1310.TW,1312.TW,1313.TW,1314.TW
2021-09-22,,,,,,,,0.012506907633048826,,,,,,,,,-0.045633297254099585,,,,,,,,,-0.45436670274590035,,,,0.25724508172183314,,,,,,,,,,,,0.23024801064511816,,,,,,
2021-09-23,,,,,,,,0.0030226046417446395,,,,,,,,,-0.04347413517262923,,,,,,,,,-0.45652586482737073,,,,0.2581393716817887,,,,,,,,,,,,0.23883802367646656,,,,,,
2021-09-24,,,,,,,,-0.006068045430317604,,,,,,,,,-0.03901286267952153,,,,,,,,,-0.45491909189016094,,,,0.25111313325810264,,,,,,,,,,,,0.24888686674189728,,,,,,
2021-09-27,,,,,,,,-0.024302008331388267,,,,,,,,,-0.04608733823643714,,,,,,,,,-0.4296106534321745,,,,0.22553462542433167,,,,,,,,,,,,0.2744653745756683,,,,,,
2021-09-28,,,,,,,,-0.03183159686389107,,,,,,,,,-0.04467002958026293,,,,,,,,,-0.423498373555846,,,,0.21344857629304276,,,,,,,,,,,,0.2865514237069573,,,,,,
2021-09-29,,,,,,,,0.07891790274192945,,,,,,,,,-0.04029445387874114,,,,,,,,,-0.45970554612125875,,,,0.4210820972580707,,,,,,,,,,,,,,,,,,
2021-09-30,,,,,,,,0.0722908160642782,,,,,,,,,-0.03946144931214819,,,,,,,,,-0.4605385506878519,,,,0.4277091839357217,,,,,,,,,,,,,,,,,,
2021-10-01,,,,,,,,0.07526658788378943,,,,,,,,,-0.03798882882693343,,,,,,,,,-0.46201117117306656,,,,0.4247334121162106,,,,,,,,,,,,,,,,,,
2021-10-04,,,,,,,,0.07073561499314221,,,,,,,,,-0.04198246184285649,,,,,,,,,-0.4580175381571434,,,,0.42926438500685793,,,,,,,,,,,,,,,,,,
2021-10-05,,,,,,,,0.06411987375945898,,,,,,,,,-0.04496354270269843,,,,,,,,,-0.4550364572973016,,,,0.435880126240541,,,,,,,,,,,,,,,,,,
2021-10-06,,,,,,,,-0.043411375060563674,,,,0.30635146675843655,,,,,-0.10551922640269794,,,,,,,,,-0.35106939853673835,,,,0.19364853324156348,,,,,,,,,,,,,,,,,,
2021-10-07,,,,,,,,0.039887318985593986,,,,,,,,,-0.04289354195144904,,,,,,,,,-0.45710645804855093,,,,0.460112681014406,,,,,,,,,,,,,,,,,,
2021-10-08,,,,,,,,,,,,,,,,,-0.03978196082225895,,,,,,,,,-0.46021803917774107,,,,0.5,,,,,,,,,,,,,,,,,,
2021-10-12,,,,,,,,,,,,,,,,,-0.03709168251796342,,,,,,,,,-0.4629083174820365,,,,0.5000000000000001,,,,,,,,,,,,,,,,,,
2021-10-13,,,,,,,,0.25399625167656603,,,,,,,,,-0.1101914251127311,,,,,,,,,-0.3898085748872689,,,,0.24600374832343408,,,,,,,,,,,,,,,,,,
2021-10-14,,,,,,,,0.25787105878339395,,,,,,,,,-0.11135330337118093,,,,,,,,,-0.3886466966288192,,,,0.242128941216606,,,,,,,,,,,,,,,,,,
