<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.11.03	15965.2	16160.2	15950.1	16147.5	84130	0	18
2021.11.04	16146.4	16388.7	16142.9	16349.8	85549	0	18
2021.11.05	16341.2	16458.7	16302.6	16354.3	106254	0	18
2021.11.08	16315.0	16403.4	16282.5	16332.9	107117	0	10
2021.11.09	16322.5	16401.2	16170.3	16206.7	139476	0	10
2021.11.10	16204.0	16250.5	15906.6	15993.2	155986	0	10
2021.11.11	15998.7	16121.5	15983.7	16045.7	90061	0	10
2021.11.12	16046.4	16220.6	16009.5	16209.1	80264	0	18
2021.11.15	16222.5	16282.0	16089.1	16201.5	87826	0	10
2021.11.16	16202.8	16329.7	16148.0	16299.0	68056	0	10
2021.11.17	16297.5	16398.9	16272.9	16324.4	73782	0	10
2021.11.18	16328.3	16509.3	16306.7	16506.1	95384	0	10
2021.11.19	16499.3	16631.7	16492.6	16589.6	96872	0	18
2021.11.22	16611.7	16770.6	16367.7	16401.7	129666	0	3
2021.11.23	16402.4	16421.9	16121.9	16301.0	215554	0	18
2021.11.24	16304.7	16371.5	16105.6	16357.5	168343	0	18
2021.11.25	16361.3	16438.4	16355.1	16410.8	19600	0	18
2021.11.26	16411.4	16416.1	15992.4	16047.5	255893	0	18
2021.11.29	16086.9	16440.8	16068.4	16416.7	197536	0	18
2021.11.30	16418.7	16459.2	16072.1	16241.0	298874	0	18
2021.12.01	16248.1	16429.6	15828.8	15860.1	261456	0	18
2021.12.02	15899.3	16066.2	15763.6	16014.6	345342	0	18
2021.12.03	16017.1	16120.8	15536.4	15685.8	343553	0	18
2021.12.06	15717.2	15897.3	15559.5	15848.9	271852	0	2
2021.12.07	15849.8	16374.0	15824.1	16365.6	153543	0	18
2021.12.08	16364.1	16434.3	16252.4	16379.9	173181	0	18
2021.12.09	16379.5	16419.2	16120.2	16155.9	155190	0	18
2021.12.10	16153.2	16335.3	16133.8	16321.7	129337	0	18
2021.12.13	16335.5	16410.0	16064.5	16095.5	173682	0	18
2021.12.14	16090.6	16132.1	15738.0	15937.9	208651	0	18
2021.12.15	15936.4	16310.6	15752.2	16297.2	227060	0	18
2021.12.16	16299.1	16467.3	15806.3	15893.0	244836	0	18
2021.12.17	15883.2	15972.0	15665.8	15843.3	304154	0	18
2021.12.20	15834.2	15866.2	15510.0	15690.7	303781	0	18
2021.12.21	15707.2	16002.4	15621.2	15989.8	187282	0	18
2021.12.22	15990.9	16199.6	15897.4	16196.4	154250	0	18
2021.12.23	16194.9	16372.8	16162.4	16318.4	94499	0	18
2021.12.27	16340.5	16597.1	16321.4	16587.8	84629	0	18
2021.12.28	16585.6	16674.3	16471.0	16528.3	115486	0	18
2021.12.29	16535.6	16580.6	16405.3	16496.7	113658	0	18
2021.12.30	16506.2	16584.2	16428.5	16447.9	97388	0	18
2021.12.31	16455.6	16480.5	16331.4	16348.7	103093	0	18
2022.01.03	16402.8	16524.3	16309.8	16511.3	135118	0	18
2022.01.04	16515.0	16577.9	16155.1	16275.2	158142	0	17
2022.01.05	16276.9	16282.4	15766.6	15767.1	220760	0	18
2022.01.06	15777.6	15909.8	15613.5	15806.6	311364	0	18
2022.01.07	15823.9	15866.3	15524.6	15585.1	248774	0	18
2022.01.10	15608.6	15681.6	15166.6	15630.1	291064	0	18
2022.01.11	15636.3	15852.2	15489.3	15838.4	260277	0	18
2022.01.12	15839.9	16023.1	15776.3	15909.9	213209	0	18
2022.01.13	15908.1	15993.1	15472.7	15514.1	236403	0	18
2022.01.14	15522.1	15631.8	15326.1	15630.9	327989	0	18
2022.01.17	15635.3	15649.3	15521.1	15571.7	90905	0	18
2022.01.18	15597.6	15616.1	15185.1	15253.3	317056	0	18
2022.01.19	15257.6	15385.4	15025.1	15048.3	335524	0	18
2022.01.20	15056.3	15354.2	14660.3	14735.3	304692	0	18
2022.01.21	14738.3	14872.1	14422.1	14425.1	485918	0	18
2022.01.24	14414.9	14593.1	13720.2	14531.1	548119	0	18
2022.01.25	14499.1	14511.9	13903.8	13936.1	513680	0	18
2022.01.26	13975.1	14652.9	13973.3	14164.9	449299	0	18
2022.01.27	14223.1	14423.3	13858.6	14124.2	561922	0	18
2022.01.28	14188.0	14454.2	13843.3	14442.2	516685	0	18
2022.01.31	14457.2	14927.0	14365.7	14879.4	318532	0	18
2022.02.01	14876.7	15148.5	14741.8	15128.5	299072	0	18
2022.02.02	15135.0	15271.7	14838.7	14873.3	300771	0	18
2022.02.03	14851.4	14880.8	14469.2	14813.1	336207	0	18
2022.02.04	14773.0	14832.9	14371.0	14650.4	394753	0	18
2022.02.07	14676.6	14813.7	14519.6	14608.3	339047	0	18
2022.02.08	14609.3	14783.6	14476.3	14753.0	266932	0	18
2022.02.09	14757.4	15074.4	14748.9	15059.9	174968	0	18
2022.02.10	15061.9	15062.6	14628.0	14700.6	360334	0	18
2022.02.11	14701.4	14771.7	14186.7	14261.9	421715	0	18
2022.02.14	14237.3	14397.6	14033.8	14262.1	494472	0	18
2022.02.15	14266.6	14618.2	14226.9	14586.1	277436	0	18
2022.02.16	14585.3	14668.8	14382.4	14593.6	273893	0	18
2022.02.17	14592.0	14619.2	14134.7	14155.3	285439	0	18
2022.02.18	14152.9	14297.8	13906.4	13991.2	342061	0	18
2022.02.21	13947.9	14156.7	13716.5	13733.3	196762	0	18
2022.02.22	13604.6	14108.0	13579.7	13920.4	467661	0	18
2022.02.23	13925.0	14067.8	13471.4	13484.3	317569	0	18
2022.02.24	13485.8	13980.0	13023.0	13909.8	695222	0	18
2022.02.25	13905.1	14193.2	13757.8	14182.6	461040	0	18
2022.02.28	13706.8	14287.9	13687.1	14215.6	422298	0	18
2022.03.01	14208.3	14323.3	13897.9	14022.1	422934	0	18
2022.03.02	14013.9	14286.5	13907.7	14192.1	388815	0	18
2022.03.03	14186.8	14385.3	13952.1	14055.3	319225	0	18
2022.03.04	14060.8	14080.5	13729.3	13794.8	408300	0	18
2022.03.07	13739.0	13873.9	13259.8	13266.4	442217	0	18
2022.03.08	13255.0	13660.8	13098.0	13194.7	549509	0	18
2022.03.09	13192.3	13815.7	13186.6	13769.6	419002	0	18
2022.03.10	13758.2	13769.0	13390.3	13566.0	357523	0	18
2022.03.11	13562.5	13853.5	13276.1	13298.7	241316	0	18
2022.03.14	13348.5	13436.3	13009.1	13072.8	236471	0	18
2022.03.15	13070.3	13480.4	12934.8	13436.1	264257	0	18
2022.03.16	13440.3	14019.2	13411.3	13991.2	332624	0	18
2022.03.17	13976.7	14125.5	13813.1	14047.3	330808	0	18
2022.03.18	14046.9	14432.9	13960.7	14429.3	253838	0	18
2022.03.21	14407.4	14458.8	14176.5	14385.1	264346	0	18
2022.03.22	14380.6	14682.5	14285.1	14646.1	203421	0	18
2022.03.23	14637.1	14674.3	14434.1	14455.2	216517	0	18
2022.03.24	14450.9	14761.4	14426.1	14753.7	218944	0	3
2022.03.25	14757.4	14831.6	14565.3	14741.7	214706	0	3
2022.03.28	14736.4	14988.1	14650.6	14973.4	238749	0	18
2022.03.29	14969.4	15261.0	14948.4	15215.6	233345	0	4
2022.03.30	15212.9	15253.1	15010.5	15109.2	226974	0	11
2022.03.31	15105.1	15181.8	14859.5	14920.7	222417	0	1
2022.04.01	14917.2	14962.2	14729.3	14855.7	228852	0	18
2022.04.04	14852.7	15178.9	14804.7	15162.4	155960	0	18
2022.04.05	15155.7	15199.2	14783.1	14862.4	183567	0	18
2022.04.06	14860.7	14860.9	14399.3	14496.7	298405	0	18
2022.04.07	14499.4	14636.5	14320.3	14537.2	294394	0	18
2022.04.08	14538.6	14643.9	14313.7	14331.3	228725	0	18
2022.04.11	14353.1	14372.9	13987.6	14005.3	272401	0	18
2022.04.12	14013.4	14285.8	13883.8	13956.0	303022	0	18
2022.04.13	13962.5	14268.5	13923.8	14213.2	241830	0	18
2022.04.14	14215.7	14297.5	13878.7	13892.2	228487	0	18
2022.04.18	13854.2	14004.3	13731.4	13966.2	215038	0	18
2022.04.19	13969.7	14242.3	13830.0	14096.2	248780	0	18
2022.04.20	14084.0	14298.9	13963.0	14074.7	286458	0	18
2022.04.21	14071.0	14286.6	13671.4	13721.9	299964	0	18
2022.04.22	13717.3	13782.8	13301.4	13317.7	359926	0	18
2022.04.25	13334.5	13553.1	13187.8	13532.2	512295	0	18
2022.04.26	13529.5	13587.0	12806.6	12816.0	364606	0	18
2022.04.27	12899.5	13259.3	12880.8	13167.3	579019	0	18
2022.04.28	13195.1	13546.1	13037.7	13315.3	398069	0	18
2022.04.29	13185.1	13437.2	12836.7	12894.7	413237	0	18
2022.05.02	12857.1	13088.1	12714.4	13055.3	531004	0	18
2022.05.03	13056.5	13187.5	12972.7	13122.5	390153	0	18
2022.05.04	13115.5	13559.0	12887.6	13499.7	342314	0	18
2022.05.05	13514.6	13549.5	12708.0	12900.0	441168	0	18
2022.05.06	12876.5	12927.5	12518.6	12664.2	615053	0	18
2022.05.09	12611.7	12633.7	12134.1	12203.0	464582	0	18
2022.05.10	12214.6	12545.2	12100.1	12326.9	525222	0	18
2022.05.11	12325.8	12550.3	11937.0	12006.3	515543	0	18
2022.05.12	11992.7	12128.7	11686.0	11868.6	595941	0	18
2022.05.13	11907.0	12427.6	11897.7	12357.7	316769	0	18
2022.05.16	12398.6	12492.7	12185.4	12231.3	370369	0	18
2022.05.17	12231.3	12572.5	12230.8	12568.1	282773	0	18
2022.05.18	12572.1	12584.8	11858.2	11889.7	286335	0	18
2022.05.19	11892.8	12070.2	11697.3	11894.8	470374	0	18
2022.05.20	11889.6	12089.3	11489.8	11834.0	391710	0	18
2022.05.23	11860.3	12073.7	11781.9	12053.9	352545	0	18
2022.05.24	11840.9	11896.0	11575.8	11809.9	377896	0	18
2022.05.25	11812.5	12032.0	11669.9	11884.9	364915	0	18
2022.05.26	11900.9	12341.5	11846.2	12257.6	259849	0	18
2022.05.27	12248.0	12716.5	12219.7	12714.5	208558	0	18
2022.05.30	12707.0	12878.7	12670.0	12806.9	106467	0	18
2022.05.31	12816.6	12822.6	12478.2	12652.8	359266	0	18
2022.06.01	12663.7	12819.5	12454.2	12546.3	331879	0	18
2022.06.02	12547.5	12899.5	12440.1	12893.5	276753	0	18
2022.06.03	12897.5	12941.7	12500.7	12545.5	269311	0	18
2022.06.06	12565.7	12807.2	12523.9	12603.0	272878	0	18
2022.06.07	12607.3	12737.3	12409.8	12677.3	246892	0	18
2022.06.08	12681.7	12781.3	12577.4	12620.7	243218	0	18
2022.06.09	12617.8	12722.7	12252.7	12295.5	261808	0	18
2022.06.10	12296.5	12335.7	11821.0	11860.3	253812	0	18
2022.06.13	11712.7	11722.0	11253.5	11328.7	394406	0	18
2022.06.14	11335.9	11501.4	11201.9	11325.7	359687	0	18
2022.06.15	11333.2	11759.8	11323.7	11589.8	230076	0	18
2022.06.16	11623.5	11737.9	11037.4	11172.2	228937	0	15
2022.06.17	11178.3	11363.9	11087.7	11276.2	222467	0	15
2022.06.20	11299.1	11405.6	11242.8	11393.6	92331	0	15
2022.06.21	11393.7	11645.4	11365.3	11549.6	117948	0	15
