年月,標的碼,標的名稱,投資股數(千股),投資比率％,投資金額(千元),持股數/流通在外股數%,個股月報酬率％,ISIN
2023/12,1101,台泥,63515,0.71,2213481,0.84,-0.2859,TW0001101004
2023/12,1216,統一,48542,1.16,3616391,0.85,2.0548,TW0001216000
2023/12,1301,台塑,37789,0.96,2992875,0.59,-1.9801,TW0001301000
2023/12,1303,南亞,57195,1.22,3803445,0.72,-2.3496,TW0001303006
2023/12,1326,台化,34529,0.69,2151129,0.59,-2.9593,TW0001326007
2023/12,1590,亞德客-KY,1389,0.45,1402910,0.69,-6.9125,KYG014081064
2023/12,2002,中鋼,124703,1.08,3366985,0.79,3.0531,TW0002002003
2023/12,2207,和泰車,3298,0.75,2338184,0.59,-0.1408,TW0002207008
2023/12,2301,光寶科,21583,0.81,2525238,0.92,6.3635,TW0002301009
2023/12,2303,聯電,118539,2,6235157,0.95,7.5665,TW0002303005
2023/12,2308,台達電,21878,2.2,6858672,0.84,-0.9477,TW0002308004
2023/12,2317,鴻海,110085,3.69,11503864,0.79,2.9557,TW0002317005
2023/12,2327,國巨,3969,0.76,2369359,0.94,-0.6657,TW0002327004
2023/12,2330,台積電,243413,46.3,144343873,0.94,3.3028,TW0002330008
2023/12,2345,智邦,5365,0.9,2805820,0.96,-1.8762,TW0002345006
2023/12,2357,華碩,7133,1.12,3491688,0.96,24.3965,TW0002357001
2023/12,2379,瑞昱,4827,0.73,2275832,0.94,4.8944,TW0002379005
2023/12,2382,廣達,26940,1.94,6048102,0.7,10.5911,TW0002382009
2023/12,2395,研華,4609,0.55,1714668,0.54,5.2331,TW0002395001
2023/12,2408,南亞科,11591,0.29,904098,0.37,4.0001,TW0002408002
2023/12,2412,中華電,38450,1.48,4614016,0.5,0.4184,TW0002412004
2023/12,2454,聯發科,15050,4.9,15276133,0.94,7.4072,TW0002454006
2023/12,2603,長榮,10211,0.47,1465262,0.48,28.125,TW0002603008
2023/12,2801,彰銀,67925,0.39,1215856,0.63,0.5619,TW0002801008
2023/12,2880,華南金,103222,0.74,2307008,0.76,0.4494,TW0002880002
2023/12,2881,富邦金,78421,1.63,5081653,0.6,0.6211,TW0002881000
2023/12,2882,國泰金,93357,1.37,4271082,0.64,-1.6128,TW0002882008
2023/12,2883,開發金,158984,0.64,1995250,0.94,-1.1811,TW0002883006
2023/12,2884,玉山金,151045,1.25,3896973,0.96,0.7811,TW0002884004
2023/12,2885,元大金,123122,1.09,3398160,0.97,6.1539,TW0002885001
2023/12,2886,兆豐金,116114,1.46,4551664,0.81,-0.4469,TW0002886009
2023/12,2887,台新金,120569,0.7,2182305,0.97,-1.0928,TW0002887007
2023/12,2890,永豐金,115524,0.73,2275832,0.93,4.2329,TW0002890001
2023/12,2891,中信金,184745,1.68,5237531,0.94,3.6563,TW0002891009
2023/12,2892,第一金,108091,0.95,2961699,0.79,-1.0831,TW0002892007
2023/12,2912,統一超,5668,0.49,1527613,0.55,0,TW0002912003
2023/12,3008,大立光,1032,0.95,2961699,0.77,20.0838,TW0003008009
2023/12,3034,聯詠,5789,0.96,2992875,0.95,1.1741,TW0003034005
2023/12,3037,欣興,13108,0.74,2307008,0.86,-0.565,TW0003037008
2023/12,3045,台灣大,17390,0.55,1714668,0.47,0.203,TW0003045001
2023/12,3231,緯創,28773,0.91,2836996,0.99,7.7598,TW0003231007
2023/12,3711,日月光投控,34640,1.5,4676367,0.79,5.4686,TW0003711008
2023/12,4904,遠傳,17580,0.45,1402910,0.49,-3.7393,TW0004904008
2023/12,4938,和碩,20712,0.58,1808195,0.78,7.5124,TW0004938006
2023/12,5871,中租-KY,14215,0.88,2743469,0.88,3.7636,KYG202881093
2023/12,5876,上海商銀,37971,0.57,1777020,0.78,3.7693,TW0005876007
2023/12,5880,合庫金,107422,0.92,2868172,0.73,-0.9276,TW0005880009
2023/12,6505,台塑化,13907,0.36,1122328,0.15,-5.059,TW0006505001
2023/12,6669,緯穎,871,0.51,1589965,0.5,3.6929,TW0006669005
2023/12,9910,豐泰,4988,0.28,872922,0.51,-4.6323,TW0009910000
2023/12,M1100,水泥工業,,0.71,2213481,,-0.1735,
2023/12,M1200,食品工業,,1.16,3616391,,0.8735,
2023/12,M1300,塑膠工業,,2.87,8947450,,-2.306,
2023/12,M1500,電機機械,,0.45,1402910,,1.2135,
2023/12,M2000,鋼鐵工業,,1.08,3366985,,5.2692,
2023/12,M2200,汽車工業,,0.75,2338184,,0.1534,
2023/12,M2300,電子工業,,74.82,233257205,,3.8654,
2023/12,M2600,航運業,,0.47,1465262,,11.7011,
2023/12,M2800,金融業(合計),,14.12,44020205,,0.888,
2023/12,M2900,貿易百貨,,0.49,1527613,,0.697,
2023/12,M3700,運動休閒,,0.28,872922,,-2.8081,
2023/12,M9700,油電燃氣業,,0.36,1122328,,-4.4678,
2023/12,M9900,其他,,0.88,2743469,,0.8778,
2023/12,MTSE,國內上市,,98.44,306894403,,2.8508,
2023/12,TT99,基金總規模,,,311757825,,,
2023/11,2303,聯電,118723,1.92,5805574,0.95,5.844,TW0002303005
2023/11,2308,台達電,21868,2.29,6921150,0.84,8.95,TW0002308004
2023/11,2317,鴻海,110174,3.7,11182640,0.79,5.1812,TW0002317005
2023/11,2330,台積電,243425,46.49,140456104,0.94,9.0738,TW0002330008
2023/11,2382,廣達,26931,1.81,5467091,0.7,7.4077,TW0002382009
2023/11,2412,中華電,38499,1.52,4600678,0.5,3.017,TW0002412004
2023/11,2454,聯發科,15066,4.71,14237148,0.94,12.2328,TW0002454006
2023/11,2881,富邦金,78367,1.67,5046855,0.6,7.1547,TW0002881000
2023/11,2886,兆豐金,113854,1.49,4497215,0.81,7.6295,TW0002886009
2023/11,2891,中信金,184462,1.67,5045043,0.94,12.3205,TW0002891009
2023/11,M2300,電子工業,,62.44,188670385,,9.9228,
2023/11,M2800,金融業(合計),,4.83,14589112,,7.2115,
2023/11,MTSE,國內上市,,67.27,203259497,,8.953,
2023/11,TT99,基金總規模,,,302148908,,,
2023/10,2303,聯電,122637,1.98,5665834,0.98,2.2124,TW0002303005
2023/10,2308,台達電,22589,2.29,6561998,0.87,-10.4776,TW0002308004
2023/10,2317,鴻海,124775,4.2,12040831,0.9,-7.2117,TW0002317005
2023/10,2330,台積電,251098,46.36,132830896,0.97,1.1471,TW0002330008
2023/10,2382,廣達,27819,1.84,5257813,0.72,-21.0858,TW0002382009
2023/10,2412,中華電,39768,1.61,4613068,0.51,-0.0001,TW0002412004
2023/10,2454,聯發科,15562,4.57,13103404,0.97,14.5579,TW0002454006
2023/10,2881,富邦金,80950,1.7,4865091,0.62,-0.9887,TW0002881000
2023/10,2886,兆豐金,117606,1.51,4316157,0.84,-2.6525,TW0002886009
2023/10,2891,中信金,190546,1.62,4639807,0.97,-0.6122,TW0002891009
2023/10,M2300,電子工業,,62.85,180073843,,-1.7504,
2023/10,M2800,金融業(合計),,4.82,13821056,,-1.6146,
2023/10,MTSE,國內上市,,67.67,193894899,,-2.1554,
2023/10,TT99,基金總規模,,,286520587,,,
2023/09,1101,台泥,64562,0.75,2146681,0.9,-4.8641,TW0001101004
2023/09,1216,統一,49405,1.21,3463312,0.87,-0.8486,TW0001216000
2023/09,1301,台塑,38378,1.07,3062598,0.6,0.3773,TW0001301000
2023/09,1303,南亞,58018,1.35,3864026,0.73,0.7563,TW0001303006
2023/09,1326,台化,35371,0.76,2175303,0.6,-0.8064,TW0001326007
2023/09,1590,亞德客-KY,1608,0.55,1574233,0.8,7.9058,KYG014081064
2023/09,2002,中鋼,126959,1.12,3205710,0.81,-4.717,TW0002002003
2023/09,2207,和泰車,3365,0.77,2203926,0.6,-3.5346,TW0002207008
2023/09,2301,光寶科,22144,0.94,2690507,0.94,-11.3139,TW0002301009
2023/09,2303,聯電,120949,1.91,5466881,0.97,-0.6594,TW0002303005
2023/09,2308,台達電,22316,2.53,7241471,0.86,-6.2139,TW0002308004
2023/09,2317,鴻海,123021,4.47,12794219,0.89,-2.3473,TW0002317005
2023/09,2327,國巨,4034,0.74,2118059,0.95,8.2475,TW0002327004
2023/09,2330,台積電,247696,45.26,129545043,0.96,-4.2164,TW0002330008
2023/09,2345,智邦,5457,0.94,2690507,0.97,3.1379,TW0002345006
2023/09,2357,華碩,7253,0.93,2661884,0.98,-8.82,TW0002357001
2023/09,2379,瑞昱,4927,0.68,1946324,0.96,0.7973,TW0002379005
2023/09,2382,廣達,27487,2.3,6583155,0.71,-5.5227,TW0002382009
2023/09,2395,研華,4729,0.57,1631478,0.55,0.2909,TW0002395001
2023/09,2408,南亞科,8290,0.19,543826,0.27,-1.5014,TW0002408002
2023/09,2412,中華電,39232,1.59,4550964,0.51,-0.0001,TW0002412004
2023/09,2454,聯發科,15343,3.94,11277231,0.96,4.2551,TW0002454006
2023/09,2603,長榮,10363,0.42,1202141,0.49,8.9201,TW0002603008
2023/09,2801,彰銀,69689,0.42,1202141,0.64,-0.2889,TW0002801008
2023/09,2880,華南金,104716,0.75,2146681,0.77,-0.0001,TW0002880002
2023/09,2881,富邦金,79690,1.69,4837188,0.61,0.2123,TW0002881000
2023/09,2882,國泰金,95087,1.48,4236117,0.65,-2.3024,TW0002882008
2023/09,2883,開發金,162517,0.67,1917702,0.97,-0.4218,TW0002883006
2023/09,2884,玉山金,153440,1.3,3720914,0.98,-0.8178,TW0002884004
2023/09,2885,元大金,125687,1.1,3148465,0.99,2.664,TW0002885001
2023/09,2886,兆豐金,116160,1.53,4379229,0.83,5.0141,TW0002886009
2023/09,2887,台新金,121525,0.76,2175303,0.97,0.5619,TW0002887007
2023/09,2890,永豐金,118438,0.72,2060814,0.96,1.7545,TW0002890001
2023/09,2891,中信金,188090,1.61,4608209,0.96,2.7255,TW0002891009
2023/09,2892,第一金,111040,1.03,2948109,0.82,0.9505,TW0002892007
2023/09,2912,統一超,5779,0.53,1516988,0.56,-1.869,TW0002912003
2023/09,3008,大立光,1046,0.78,2232548,0.78,4.1462,TW0003008009
2023/09,3034,聯詠,5887,0.87,2490150,0.97,5.8825,TW0003034005
2023/09,3037,欣興,13363,0.81,2318415,0.88,-6.469,TW0003037008
2023/09,3045,台灣大,17851,0.59,1688722,0.51,1.5022,TW0003045001
2023/09,3231,緯創,29327,1.04,2976731,1.01,-13.2479,TW0003231007
2023/09,3711,日月光投控,35288,1.35,3864026,0.81,-7.2035,TW0003711008
2023/09,4904,遠傳,16536,0.42,1202141,0.51,2.9749,TW0004904008
2023/09,4938,和碩,20925,0.56,1602855,0.79,-1.7948,TW0004938006
2023/09,5871,中租-KY,14548,0.92,2633262,0.9,1.972,KYG202881093
2023/09,5876,上海商銀,38384,0.58,1660100,0.79,1.5257,TW0005876007
2023/09,5880,合庫金,109570,0.98,2804997,0.74,-2.476,TW0005880009
2023/09,6505,台塑化,14205,0.4,1144897,0.15,1.6394,TW0006505001
2023/09,6669,緯穎,900,0.47,1345253,0.51,-4.1668,TW0006669005
2023/09,9910,豐泰,5161,0.33,944540,0.52,8.9287,TW0009910000
2023/09,M1100,水泥工業,,0.75,2146681,,-3.3329,
